id	taxonID	scientificName	kingdom	phylum	class	order	family
1042826	1042826	Leptophloeus alternans	Animalia	Arthropoda	Insecta	Coleoptera	Laemophloeidae
1688031	1688031	Leptophyes albovittata	Animalia	Arthropoda	Insecta	Orthoptera	Tettigoniidae
1688020	1688020	Leptophyes punctatissima	Animalia	Arthropoda	Insecta	Orthoptera	Tettigoniidae
2011230	2011230	Leptopterna dolabrata	Animalia	Arthropoda	Insecta	Hemiptera	Miridae
2011227	2011227	Leptopterna ferrugata	Animalia	Arthropoda	Insecta	Hemiptera	Miridae
2134514	2134514	Leptorhoptrum robustum	Animalia	Arthropoda	Arachnida	Araneae	Linyphiidae
1323916	1323916	Leptothorax acervorum	Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae
4504469	4504469	Leptothorax albipennis	Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae
1323853	1323853	Leptothorax nylanderi	Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae
6269582	6269582	Leptura aurulenta	Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae
4458782	4458782	Leptura quadrifasciata	Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae
4442950	4442950	Leptusa fumida	Animalia	Arthropoda	Insecta	Coleoptera	Staphylinidae
10473202	10473202	Leptusa pulchella	Animalia	Arthropoda	Insecta	Coleoptera	Staphylinidae
4442987	4442987	Leptusa ruficollis	Animalia	Arthropoda	Insecta	Coleoptera	Staphylinidae
2015789	2015789	Lepyronia coleoptrata	Animalia	Arthropoda	Insecta	Hemiptera	Aphrophoridae
1424076	1424076	Lestes barbarus	Animalia	Arthropoda	Insecta	Odonata	Lestidae
1424045	1424045	Lestes dryas	Animalia	Arthropoda	Insecta	Odonata	Lestidae
1424038	1424038	Lestes sponsa	Animalia	Arthropoda	Insecta	Odonata	Lestidae
1424067	1424067	Lestes virens	Animalia	Arthropoda	Insecta	Odonata	Lestidae
4444060	4444060	Lesteva longoelytrata	Animalia	Arthropoda	Insecta	Coleoptera	Staphylinidae
4495033	4495033	Lestica subterranea	Animalia	Arthropoda	Insecta	Hymenoptera	Crabronidae
5111574	5111574	Leucania comma	Animalia	Arthropoda	Insecta	Lepidoptera	Noctuidae
5772222	5772222	Leucania loreyi	Animalia	Arthropoda	Insecta	Lepidoptera	Noctuidae
8253467	8253467	Leucania obsoleta	Animalia	Arthropoda	Insecta	Lepidoptera	Noctuidae
1775329	1775329	Leucochlaena oditis	Animalia	Arthropoda	Insecta	Lepidoptera	Noctuidae
